# ZL+vMIT Phase Boundaries
# eta = 0.30
# eq_mode = beta
# ZL params: ZL_Constantinou
# vMIT params: B^1/4=180.0 MeV, a=0.2 fm^2
# Columns: T n_B_onset n_B_offset conv mu_p_H mu_n_H mu_u_Q mu_d_Q mu_s_Q mu_eL_H mu_eL_Q mu_eG n_p_H n_n_H n_u_Q n_d_Q n_s_Q
    0.0000 7.024481e-01 1.525965e+00  1    1201.7991    1531.2383     442.5965     544.3209     544.3209     329.4392    -429.6099     329.4392 1.571606e-01 5.452874e-01 5.180901e-01 1.136076e+00 9.456973e-01
    0.1000 7.024580e-01 1.525974e+00  1    1201.8087    1531.2522     442.5989     544.3266     544.3266     329.4435    -429.6090     329.4435 1.571671e-01 5.452910e-01 5.181007e-01 1.136121e+00 9.456685e-01
    2.5000 7.023084e-01 1.525594e+00  1    1201.5714    1530.9211     442.5060     544.2076     544.2076     329.3498    -429.4776     329.3498 1.571222e-01 5.451862e-01 5.180757e-01 1.135770e+00 9.453595e-01
    5.0000 7.018572e-01 1.524452e+00  1    1200.8533    1529.9219     442.2251     543.8484     543.8484     329.0685    -429.0824     329.0685 1.569879e-01 5.448693e-01 5.179954e-01 1.134708e+00 9.444260e-01
    7.5000 7.010987e-01 1.522545e+00  1    1199.6374    1528.2385     441.7502     543.2442     543.2442     328.6011    -428.4226     328.6011 1.567663e-01 5.443324e-01 5.178418e-01 1.132918e+00 9.428504e-01
   10.0000 7.000220e-01 1.519865e+00  1    1197.8927    1525.8418     441.0702     542.3858     542.3858     327.9491    -427.4957     327.9491 1.564606e-01 5.435615e-01 5.175832e-01 1.130364e+00 9.405997e-01
   12.5000 6.986112e-01 1.516402e+00  1    1195.5825    1522.6946     440.1720     541.2613     541.2613     327.1121    -426.2974     327.1121 1.560712e-01 5.425400e-01 5.171832e-01 1.126999e+00 9.376305e-01
   15.0000 6.968468e-01 1.512139e+00  1    1192.6720    1518.7587     439.0431     539.8578     539.8578     326.0867    -424.8201     326.0867 1.555944e-01 5.412524e-01 5.166094e-01 1.122773e+00 9.338965e-01
   17.5000 6.947067e-01 1.507057e+00  1    1189.1322    1513.9975     437.6728     538.1623     538.1623     324.8653    -423.0539     324.8653 1.550214e-01 5.396853e-01 5.158367e-01 1.117636e+00 9.293522e-01
   20.0000 6.921670e-01 1.501129e+00  1    1184.9385    1508.3765     436.0518     536.1623     536.1623     323.4380    -420.9867     323.4380 1.543401e-01 5.378268e-01 5.148457e-01 1.111541e+00 9.239542e-01
   22.5000 6.892018e-01 1.494326e+00  1    1180.0687    1501.8613     434.1715     533.8449     533.8449     321.7927    -418.6048     321.7927 1.535366e-01 5.356651e-01 5.136199e-01 1.104442e+00 9.176606e-01
   25.0000 6.857833e-01 1.486614e+00  1    1174.5008    1494.4170     432.0234     531.1968     531.1968     319.9162    -415.8933     319.9162 1.525961e-01 5.331872e-01 5.121436e-01 1.096293e+00 9.104306e-01
   27.5000 6.818816e-01 1.477952e+00  1    1168.2117    1486.0063     429.5984     528.2039     528.2039     317.7946    -412.8359     317.7946 1.515036e-01 5.303779e-01 5.103998e-01 1.087047e+00 9.022237e-01
   30.0000 6.774636e-01 1.468297e+00  1    1161.1758    1476.5889     426.8865     524.8512     524.8512     315.4132    -409.4150     315.4132 1.502445e-01 5.272190e-01 5.083692e-01 1.076660e+00 8.929987e-01
   32.5000 6.724933e-01 1.457602e+00  1    1153.3644    1466.1210     423.8763     521.1223     521.1223     312.7566    -405.6120     312.7566 1.488049e-01 5.236885e-01 5.060292e-01 1.065082e+00 8.827143e-01
   35.0000 6.669308e-01 1.445816e+00  1    1144.7453    1454.5540     420.5552     516.9994     516.9994     309.8087    -401.4061     309.8087 1.471711e-01 5.197597e-01 5.033536e-01 1.052263e+00 8.713278e-01
   37.5000 6.607315e-01 1.432880e+00  1    1135.2813    1441.8339     416.9084     512.4627     512.4627     306.5526    -396.7751     306.5526 1.453305e-01 5.154010e-01 5.003120e-01 1.038153e+00 8.587953e-01
   40.0000 6.538451e-01 1.418734e+00  1    1124.9306    1427.9008     412.9196     507.4906     507.4906     302.9702    -391.6940     302.9702 1.432710e-01 5.105741e-01 4.968690e-01 1.022697e+00 8.450712e-01
   42.5000 6.462146e-01 1.403308e+00  1    1113.6451    1412.6872     408.5698     502.0587     502.0587     299.0421    -386.1355     299.0421 1.409811e-01 5.052335e-01 4.929843e-01 1.005837e+00 8.301079e-01
   45.0000 6.377745e-01 1.386526e+00  1    1101.3701    1396.1175     403.8375     496.1400     496.1400     294.7474    -380.0688     294.7474 1.384499e-01 4.993246e-01 4.886114e-01 9.875126e-01 8.138559e-01
   47.5000 6.284492e-01 1.368301e+00  1    1088.0434    1378.1065     398.6980     489.7042     489.7042     290.0631    -373.4597     290.0631 1.356675e-01 4.927817e-01 4.836980e-01 9.676608e-01 7.962636e-01
   50.0000 6.181507e-01 1.348536e+00  1    1073.5941    1358.5585     393.1233     482.7176     482.7176     284.9645    -366.2695     284.9645 1.326247e-01 4.855260e-01 4.781844e-01 9.462149e-01 7.772781e-01
   52.5000 6.067758e-01 1.327116e+00  1    1057.9419    1337.3665     387.0817     475.1424     475.1424     279.4246    -358.4551     279.4246 1.293137e-01 4.774621e-01 4.720044e-01 9.231067e-01 7.568463e-01
   55.0000 5.942033e-01 1.303907e+00  1    1040.9975    1314.4120     380.5376     466.9372     466.9372     273.4145    -349.9685     273.4145 1.257285e-01 4.684748e-01 4.650848e-01 8.982697e-01 7.349183e-01
   57.5000 5.802908e-01 1.278752e+00  1    1022.6628    1289.5668     373.4518     458.0575     458.0575     266.9040    -340.7572     266.9040 1.218661e-01 4.584248e-01 4.573475e-01 8.716443e-01 7.114526e-01
   60.0000 5.648727e-01 1.251459e+00  1    1002.8353    1262.6983     365.7832     448.4576     448.4576     259.8630    -330.7657     259.8630 1.177284e-01 4.471443e-01 4.487127e-01 8.431886e-01 6.864260e-01
