# ZL+vMIT Phase Boundaries
# eta = 0.60
# eq_mode = fixed_yc
# ZL params: ZL_Constantinou
# vMIT params: B^1/4=180.0 MeV, a=0.2 fm^2
# Columns: Y_C T n_B_onset n_B_offset conv mu_p_H mu_n_H mu_u_Q mu_d_Q mu_s_Q mu_eL_H mu_eL_Q mu_eG n_p_H n_n_H n_u_Q n_d_Q n_s_Q
  0.0100    55.0000 3.126045e-01 1.169307e+00  1     635.0105    1012.6376     241.0869     385.7753     385.7753      23.3898    -364.8415      23.3898 3.126045e-03 3.094784e-01 1.660554e-01 6.281506e-01 4.880026e-01
  0.0100    57.5000 2.752543e-01 1.136395e+00  1     598.6193     976.0363     225.3120     375.3621     375.3621      18.9791    -359.9658      18.9791 2.752543e-03 2.725017e-01 1.495787e-01 6.027088e-01 4.664174e-01
  0.0100    60.0000 2.342344e-01 1.101197e+00  1     562.7322     941.3011     209.6635     365.8188     365.8188      14.9035    -355.7860      14.9035 2.342344e-03 2.318920e-01 1.345178e-01 5.811569e-01 4.484764e-01
  0.0100    62.5000 1.913089e-01 1.063499e+00  1     528.9179     909.5974     194.8135     357.3919     357.3919      11.2512    -352.2506      11.2512 1.913089e-03 1.893958e-01 1.215633e-01 5.639977e-01 4.345860e-01
  0.0100    65.0000 1.503784e-01 1.023002e+00  1     498.5102     881.4966     181.4054     350.0456     350.0456       8.1905    -349.0532       8.1905 1.503784e-03 1.488746e-01 1.111897e-01 5.508126e-01 4.243308e-01
  0.0100    67.5000 1.158103e-01 9.792939e-01  1     471.2590     856.3329     169.4353     343.4488     343.4488       5.8541    -345.9133       5.8541 1.158103e-03 1.146522e-01 1.030224e-01 5.403951e-01 4.166077e-01
  0.0100    70.0000 8.913417e-02 9.318192e-01  1     445.3851     832.6149     158.1875     337.2137     337.2137       4.1912    -342.8147       4.1912 8.913417e-04 8.824283e-02 9.596791e-02 5.315368e-01 4.103267e-01
  0.0100    72.5000 6.920058e-02 8.798510e-01  1     419.1598     809.0736     146.9086     331.0825     331.0825       3.0339    -339.8658       3.0339 6.920058e-04 6.850858e-02 8.904434e-02 5.234915e-01 4.048174e-01
  0.0100    75.0000 5.424971e-02 8.224884e-01  1     391.5849     784.9690     135.1461     324.9115     324.9115       2.2227    -337.1418       2.2227 5.424971e-04 5.370721e-02 8.168541e-02 5.158533e-01 3.997145e-01
  0.0100    77.5000 4.285824e-02 7.588032e-01  1     362.1920     759.9053     122.6846     318.6104     318.6104       1.6446    -334.6680       1.6446 4.285824e-04 4.242965e-02 7.359679e-02 5.083651e-01 3.947868e-01
  0.0100    80.0000 3.403054e-02 6.885442e-01  1     330.7718     733.6480     109.4338     312.1071     312.1071       1.2255    -332.4459       1.2255 3.403054e-04 3.369024e-02 6.459403e-02 5.008229e-01 3.898516e-01
  0.0100    82.5000 2.708821e-02 6.143271e-01  1     297.2252     706.0266      95.3639     305.3313     305.3313       0.9173    -330.4726       0.9173 2.708821e-04 2.681733e-02 5.451260e-02 4.930353e-01 3.847382e-01
  0.0100    85.0000 2.156569e-02 5.443776e-01  1     261.5085     676.8941      80.4818     298.2061     298.2061       0.6880    -328.7475       0.6880 2.156569e-04 2.135004e-02 4.317073e-02 4.848028e-01 3.792707e-01
  0.0100    87.5000 1.714236e-02 4.878853e-01  1     223.6728     646.1365      64.8487     290.6439     290.6439       0.5161    -327.2647       0.5161 1.714236e-04 1.697094e-02 3.037995e-02 4.759071e-01 3.732577e-01
  0.0100    90.0000 1.360639e-02 4.462295e-01  1     184.0878     613.7793      48.6772     282.5511     282.5511       0.3872    -325.9758       0.3872 1.360639e-04 1.347033e-02 1.604806e-02 4.661159e-01 3.664975e-01
  0.0100    92.5000 1.084109e-02 4.155826e-01  1     144.0592     580.3154      32.5942     273.8606     273.8606       0.2920    -324.6909       0.2920 1.084109e-04 1.073268e-02 4.976033e-04 4.552407e-01 3.588280e-01
  0.0100    95.0000 8.802851e-03 3.921284e-01  1     106.6705     547.2112      17.9764     264.6174     264.6174       0.2248    -322.9413       0.2248 8.802851e-05 8.714822e-03 -1.499952e-02 4.433069e-01 3.502735e-01
  0.0100    97.5000 7.430502e-03 3.732648e-01  1      75.8712     516.5556       6.5038     255.0259     255.0259       0.1802    -320.0902       0.1802 7.430497e-05 7.356197e-03 -2.840199e-02 4.306775e-01 3.411488e-01
  0.0100   100.0000 6.561536e-03 3.573146e-01  1      53.1999     489.3145      -1.2551     245.2848     245.2848       0.1512    -315.8066       0.1512 6.561536e-05 6.495921e-03 -3.847882e-02 4.177507e-01 3.317951e-01
