# ZL+vMIT Phase Boundaries
# eta = 0.10
# eq_mode = beta
# ZL params: ZL_Constantinou
# vMIT params: B^1/4=180.0 MeV, a=0.2 fm^2
# Columns: T n_B_onset n_B_offset conv mu_p_H mu_n_H mu_u_Q mu_d_Q mu_s_Q mu_eL_H mu_eL_Q mu_eG n_p_H n_n_H n_u_Q n_d_Q n_s_Q
    0.0000 5.564243e-01 1.694548e+00  1    1066.6044    1328.5061     317.9317     505.2872     505.2872     261.9017    -483.5602     261.9017 7.896453e-02 4.774598e-01 1.777514e-01 1.014726e+00 8.318252e-01
    0.1000 5.564321e-01 1.694553e+00  1    1066.6112    1328.5168     317.9329     505.2919     505.2919     261.9056    -483.5604     261.9056 7.896828e-02 4.774639e-01 1.777548e-01 1.014764e+00 8.317982e-01
    2.5000 5.563119e-01 1.694170e+00  1    1066.3675    1328.2166     317.8587     505.1790     505.1790     261.8490    -483.4384     261.8490 7.898802e-02 4.773238e-01 1.778274e-01 1.014447e+00 8.315242e-01
    5.0000 5.559407e-01 1.693016e+00  1    1065.6131    1327.2945     317.6273     504.8336     504.8336     261.6814    -483.0692     261.6814 7.904932e-02 4.768913e-01 1.780325e-01 1.013471e+00 8.306783e-01
    7.5000 5.552878e-01 1.691090e+00  1    1064.2798    1325.6887     317.2139     504.2374     504.2374     261.4089    -482.4448     261.4089 7.915761e-02 4.761302e-01 1.783298e-01 1.011758e+00 8.291889e-01
   10.0000 5.543164e-01 1.688384e+00  1    1062.2958    1323.3301     316.5930     503.3686     503.3686     261.0344    -481.5534     261.0344 7.931515e-02 4.750012e-01 1.786805e-01 1.009220e+00 8.269721e-01
   12.5000 5.530001e-01 1.684892e+00  1    1059.6267    1320.1786     315.7539     502.2123     502.2123     260.5519    -480.3833     260.5519 7.951619e-02 4.734839e-01 1.790712e-01 1.005794e+00 8.239718e-01
   15.0000 5.513232e-01 1.680599e+00  1    1056.2709    1316.2203     314.6987     500.7608     500.7608     259.9494    -478.9234     259.9494 7.974923e-02 4.715740e-01 1.795096e-01 1.001451e+00 8.201603e-01
   17.5000 5.492748e-01 1.675490e+00  1    1052.2420    1311.4539     313.4351     499.0094     499.0094     259.2118    -477.1634     259.2118 8.000034e-02 4.692744e-01 1.800125e-01 9.961750e-01 8.155250e-01
   20.0000 5.468442e-01 1.669544e+00  1    1047.5568    1305.8807     311.9721     496.9543     496.9543     258.3239    -475.0930     258.3239 8.025508e-02 4.665891e-01 1.805979e-01 9.899578e-01 8.100591e-01
   22.5000 5.440191e-01 1.662736e+00  1    1042.2303    1299.5007     310.3181     494.5913     494.5913     257.2704    -472.7013     257.2704 8.049935e-02 4.635198e-01 1.812816e-01 9.827904e-01 8.037565e-01
   25.0000 5.407838e-01 1.655037e+00  1    1036.2728    1292.3097     308.4795     491.9151     491.9151     256.0369    -469.9766     256.0369 8.071974e-02 4.600640e-01 1.820757e-01 9.746626e-01 7.966099e-01
   27.5000 5.371187e-01 1.646417e+00  1    1029.6897    1284.2992     306.4611     488.9190     488.9190     254.6095    -466.9067     254.6095 8.090369e-02 4.562150e-01 1.829878e-01 9.655620e-01 7.886104e-01
   30.0000 5.330000e-01 1.636838e+00  1    1022.4811    1275.4562     304.2655     485.5953     485.5953     252.9751    -463.4782     252.9751 8.103948e-02 4.519605e-01 1.840216e-01 9.554740e-01 7.797478e-01
   32.5000 5.283997e-01 1.626262e+00  1    1014.6423    1265.7634     301.8936     481.9349     481.9349     251.1212    -459.6769     251.1212 8.111626e-02 4.472834e-01 1.851764e-01 9.443829e-01 7.700110e-01
   35.0000 5.232849e-01 1.614646e+00  1    1006.1642    1255.1998     299.3444     477.9277     477.9277     249.0356    -455.4873     249.0356 8.112401e-02 4.421609e-01 1.864479e-01 9.322722e-01 7.593888e-01
   37.5000 5.176182e-01 1.601943e+00  1     997.0339    1243.7406     296.6157     473.5625     473.5625     246.7067    -450.8932     246.7067 8.105358e-02 4.365646e-01 1.878282e-01 9.191262e-01 7.478711e-01
   40.0000 5.113569e-01 1.588102e+00  1     987.2352    1231.3586     293.7040     468.8273     468.8273     244.1234    -445.8770     244.1234 8.089663e-02 4.304603e-01 1.893059e-01 9.049305e-01 7.354497e-01
   42.5000 5.044535e-01 1.573068e+00  1     976.7497    1218.0245     290.6046     463.7100     463.7100     241.2749    -440.4203     241.2749 8.064577e-02 4.238077e-01 1.908668e-01 8.896744e-01 7.221202e-01
   45.0000 4.968549e-01 1.556779e+00  1     965.5573    1203.7081     287.3125     458.1978     458.1978     238.1508    -434.5040     238.1508 8.029454e-02 4.165603e-01 1.924940e-01 8.733524e-01 7.078835e-01
   47.5000 4.885029e-01 1.539167e+00  1     953.6384    1188.3800     283.8222     452.2789     452.2789     234.7416    -428.1083     234.7416 7.983764e-02 4.086652e-01 1.941685e-01 8.559670e-01 6.927486e-01
   50.0000 4.793345e-01 1.520155e+00  1     940.9749    1172.0136     280.1289     445.9424     445.9424     231.0387    -421.2137     231.0387 7.927109e-02 4.000634e-01 1.958698e-01 8.375323e-01 6.767353e-01
   52.5000 4.692830e-01 1.499655e+00  1     927.5535    1154.5885     276.2286     439.1800     439.1800     227.0350    -413.8016     227.0350 7.859248e-02 3.906905e-01 1.975768e-01 8.180782e-01 6.598786e-01
   55.0000 4.582797e-01 1.477567e+00  1     913.3692    1136.0945     272.1200     431.9873     431.9873     222.7253    -405.8555     222.7253 7.780131e-02 3.804784e-01 1.992695e-01 7.976557e-01 6.422331e-01
   57.5000 4.462572e-01 1.453774e+00  1     898.4299    1116.5370     267.8056     424.3657     424.3657     218.1072    -397.3627     218.1072 7.689924e-02 3.693580e-01 2.009303e-01 7.763436e-01 6.238785e-01
   60.0000 4.331544e-01 1.428138e+00  1     882.7620    1095.9435     263.2933     416.3251     416.3251     213.1815    -388.3161     213.1815 7.589039e-02 3.572640e-01 2.025472e-01 7.542542e-01 6.049253e-01
   62.5000 4.189232e-01 1.400492e+00  1     866.4175    1074.3709     258.5994     407.8857     407.8857     207.9533    -378.7163     207.9533 7.478123e-02 3.441420e-01 2.041168e-01 7.315394e-01 5.855189e-01
   65.0000 4.035377e-01 1.370635e+00  1     849.4798    1051.9114     253.7497     399.0808     399.0808     202.4316    -368.5730     202.4316 7.358022e-02 3.299575e-01 2.056476e-01 7.083926e-01 5.658412e-01
   67.5000 3.870035e-01 1.338315e+00  1     832.0675    1028.6961     248.7819     389.9571     389.9571     196.6285    -357.9055     196.6285 7.229664e-02 3.147068e-01 2.071636e-01 6.850451e-01 5.461062e-01
   70.0000 3.693671e-01 1.303211e+00  1     814.3349    1004.8923     243.7456     380.5733     380.5733     190.5575    -346.7401     190.5575 7.093870e-02 2.984284e-01 2.087065e-01 6.617545e-01 5.265484e-01
   72.5000 3.507219e-01 1.264904e+00  1     796.4638     980.6932     238.7004     370.9964     370.9964     184.2294    -335.1055     184.2294 6.951092e-02 2.812109e-01 2.103348e-01 6.387824e-01 5.074027e-01
   75.0000 3.312077e-01 1.222825e+00  1     778.6496     956.2984     233.7118     361.2933     361.2933     177.6488    -323.0238     177.6488 6.801142e-02 2.631962e-01 2.121207e-01 6.163662e-01 4.888781e-01
   77.5000 3.110049e-01 1.176177e+00  1     761.0806     931.8904     228.8443     351.5230     351.5230     170.8098    -310.5010     170.8098 6.642979e-02 2.445751e-01 2.141423e-01 5.946900e-01 4.711323e-01
   80.0000 2.903222e-01 1.123771e+00  1     743.9160     907.6102     224.1547     341.7277     341.7277     163.6942    -297.5175     163.6942 6.474656e-02 2.255756e-01 2.164740e-01 5.738625e-01 4.542531e-01
   82.5000 2.693827e-01 1.063702e+00  1     727.2670     883.5400     219.6844     331.9278     331.9278     156.2730    -284.0230     156.2730 6.293464e-02 2.064480e-01 2.191757e-01 5.539091e-01 4.382523e-01
   85.0000 2.484099e-01 9.925712e-01  1     711.1840     859.6954     215.4541     322.1207     322.1207     148.5113    -269.9359     148.5113 6.096254e-02 1.874473e-01 2.222822e-01 5.347782e-01 4.230733e-01
